year,AT solar [MW],AT wind [MW],BE solar [MW],BE wind [MW],BG solar [MW],BG wind [MW],CR solar [MW],CR wind [MW],CZ solar [MW],CZ wind [MW],DK solar [MW],DK wind [MW],EE solar [MW],EE wind [MW],FI solar [MW],FI wind [MW],GR solra,GR wind [MW],HU solar [MW],HU wind [MW],IE solar [MW],IE wind [MW],LV solar [MW],LV wind [MW],LT solar [MW],LT wind [MW],LU solar [MW],LU wind [MW],NL solar [MW],NL wind [MW],NO solar [MW],NO wind [MW],PL solar [MW],PL wind [MW],PT solar [MW],PT wind [MW],RO solar [MW],RO wind [MW],SK solar [MW],SK wind [MW],SI solar [MW],SI wind [MW],SE solar [MW],SE wind [MW],CH solar [MW],CH wind [MW],DE solar [MW],DE wind [MW],FR solar [MW],FR wind [MW],ES solar [MW],ES wind [MW],UK solar [MW],UK wind [MW],IT solar [MW],IT wind [MW]
2003,23,322,1,67,0,0,0,0,0,11,2,2697,0,3,3,52,1,371,0,3,0,210,0,26,0,0,14,21,46,905,7,97,0,35,2,268,0,0,0,3000,0,0,4,395,22,5,435,14381,9,218,22,5945,6,678,26,874
2004,27,581,1,96,0,1,0,6,0,17,2,2700,0,7,4,82,1,470,0,3,0,311,0,26,0,1,24,35,50,1075,7,152,0,40,2,553,0,0,0,3000,0,0,4,453,24,9,1105,16419,11,358,33,8317,8,809,31,1127
2005,21,825,2,167,0,8,0,6,1,22,3,2704,0,31,4,82,1,491,0,17,0,468,0,26,0,1,24,35,51,1224,7,265,0,121,2,1064,0,1,0,5000,0,0,4,500,28,12,2056,18248,13,690,52,9918,11,1351,34,1635
2006,22,968,2,212,0,27,0,17,1,44,3,2712,0,31,5,86,5,749,0,33,0,651,0,26,0,31,24,35,53,1453,8,284,0,172,3,1681,0,1,0,5000,0,0,5,563,30,12,2899,20474,150,1412,130,11722,14,1651,45,1902
2007,24,991,20,276,0,30,0,17,4,114,3,2701,0,50,5,110,9,846,0,61,0,715,0,26,0,47,24,35,54,1641,8,348,0,306,24,2201,0,3,0,5000,1,0,6,692,37,12,4170,22116,26,2223,494,14820,18,2083,110,2702
2008,30,992,62,324,0,114,0,17,40,150,3,2740,0,77,6,119,12,1022,1,134,0,917,0,28,0,54,25,43,59,1921,8,395,0,526,59,2857,0,5,0,5000,1,0,8,956,49,14,6120,22794,80,3403,3384,16555,23,2850,483,3525
2009,49,1001,386,577,2,333,0,70,465,193,5,2821,0,104,6,123,46,1171,1,203,1,1226,0,29,0,98,26,43,69,1994,9,421,0,709,115,3326,0,15,0,3000,4,0,9,1312,79,18,10564,25697,277,4582,3423,19176,27,3471,1264,4879
2010,89,1016,1007,716,25,488,0,79,1727,213,7,2934,0,108,7,171,202,1298,2,293,1,1365,0,30,0,133,30,44,90,2009,9,423,0,1108,134,3796,0,389,19,3000,12,0,11,1854,125,42,18004,26823,1044,5912,3873,20693,95,4080,3592,5794
2011,174,1106,1979,873,154,541,0,130,1913,213,17,3081,0,180,7,173,612,1640,4,331,1,1559,0,36,0,202,41,45,149,2088,10,510,1,1800,172,4254,1,988,496,3000,57,0,12,2601,223,46,25914,28524,3044,6758,4283,21529,1000,4758,13131,6918
2012,337,1337,2647,989,1013,677,4,180,2022,258,402,3240,0,266,8,231,1536,1753,12,325,1,1679,0,59,7,275,75,58,369,2205,10,703,2,2564,238,4410,41,1822,513,3000,142,0,24,3443,437,49,34075,30711,4359,7607,4569,22789,1753,6035,16785,8102
2013,626,1675,2902,1072,1020,683,19,254,2064,262,571,3548,2,248,9,421,2579,1809,35,329,1,1983,0,66,68,279,95,58,746,2485,11,816,2,3429,296,4608,761,2773,533,5000,187,4000,43,3982,756,60,36708,32969,5277,8156,4690,22953,2937,7586,18185,8542
2014,785,2110,3015,1236,1026,699,33,339,2067,278,607,3615,3,275,11,601,2596,1978,89,329,2,2258,0,69,69,288,110,58,1048,2637,13,857,27,3836,415,4855,1293,3244,533,3000,223,4000,60,4875,1061,60,37898,37620,6034,9201,4697,22920,5528,8573,18594,8683
